7zip 25.01-1
accountsservice 23.13.9-2
alacritty 0.16.1-1
alsa-firmware 1.2.4-4
alsa-plugins 1:1.2.12-5
alsa-utils 1.2.15.2-1
antigravity 1.13.3-1
appmenu-gtk-module 25.04-2
arandr 0.1.11-6
arc-gtk-theme-eos 20221218-2
aspell 0.60.8.1-2
b43-fwcutter 019-6
base 3-2
base-devel 1-2
bash-completion 2.17.0-2
bat 0.26.1-1
bind 9.20.17-1
bleachbit 5.0.2-2
blueman 2.4.6-2
bluez 5.85-1
bluez-utils 5.85-1
brightnessctl 0.5.1-3
btop 1.4.6-1
btrfs-progs 6.17.1-2
cantarell-fonts 1:0.311-1
cinnamon-translations 6.6.2-1
cmatrix 2.0-4
cowsay 3.8.4-1
cryptsetup 2.8.3-1
datagrip 2025.3.2-1
device-mapper 2.03.38-1
difftastic 0.67.0-1
diffutils 3.12-2
dmidecode 3.7-1
dmraid 1.0.0.rc16.3-15
dnsmasq 2.91-1
docker 1:29.1.4-1
docker-compose 5.0.1-1
dosfstools 4.2-5
downgrade 11.8.0-1
dracut 109_eos-1
duf 0.9.1-1
e2fsprogs 1.47.3-2
efibootmgr 18-3
efitools 1.9.2-6
endeavouros-branding 25.11.1.1-1
endeavouros-keyring 20231222-1
endeavouros-mirrorlist 26-1
eos-apps-info 25.12-1
eos-dracut 1.7-1
eos-hooks 1.16.2-1
eos-lightdm-slick-theme 3.4-1
eos-log-tool 25.10-1
eos-packagelist 2.3.1-2
eos-qogir-icons 2025.02.15-3
eos-quickstart 1.4.1-1
eos-rankmirrors 25.11.4-1
eos-settings-cinnamon 2.4-1
ethtool 1:6.15-1
exfatprogs 1.3.1-1
f2fs-tools 1.16.0-3
fastfetch 2.57.1-1
ffmpegthumbnailer 2.3.0-1
figlet 2.2.5-6
file-roller 44.6-1
firefox 146.0.1-1
firewalld 2.4.0-2
flatpak 1:1.16.2-1
fortune-mod 3.24.0-1
galculator 2.1.4-10
gammastep 2.0.11-2
ghostty 1.2.3-2
git 2.52.0-2
glances 4.4.1-3
gnome-screenshot 1:41.0-1
gnome-system-monitor 49.1-1
gnome-terminal 3.58.1-1
grub 2:2.14rc1.r54.g29f3131a-2
grub-customizer 5.2.5-2
gst-libav 1.26.10-3
gst-plugin-pipewire 1:1.4.9-2
gst-plugins-bad 1.26.10-3
gst-plugins-ugly 1.26.10-3
gthumb 3.12.8.2-3
gvfs 1.58.0-2
gvfs-afc 1.58.0-2
gvfs-gphoto2 1.58.0-2
gvfs-mtp 1.58.0-2
gvfs-nfs 1.58.0-2
gvfs-smb 1.58.0-2
haveged 1.9.19-1
hdparm 9.65-3
hwdetect 2025.08.16.1333-1
hwinfo 25.0-2
hyprland 0.53.1-1
hyprlock 0.9.2-8
hyprshot 1.3.0-4
i3lock 2.16-1
ibus 1.5.33-3
inetutils 2.6-1
inotify-tools 4.25.9.0-1
intel-ucode 20251111-1
intellij-idea-ultimate-edition 2025.3.1-1
inxi 3.3.40.1-1
iptables-nft 1:1.8.11-2
iwd 3.10-1
jfsutils 1.1.15-9
kitty 0.45.0-4
less 1:685-1
libdvdcss 1.5.0-1
libgsf 1.14.55-1
libopenraw 0.3.7-2
libreoffice-still 25.2.7-6
libwnck3 43.3-1
lightdm 1:1.32.0-6
lightdm-slick-greeter 2.2.6-1
linux 6.18.5.arch1-1
linux-firmware 20260110-1
linux-headers 6.18.5.arch1-1
logrotate 3.22.0-1
lsb-release 2.0.r55.a25a4fc-1
lsscsi 0.32-2
lvm2 2.03.38-1
mako 1.10.0-1
man-db 2.13.1-1
man-pages 6.16-1
maven 3.9.12-1
mdadm 4.4-2
meld 3.22.3-2
mesa-utils 9.0.0-7
modemmanager 1.24.2-1
mpv 1:0.41.0-2
mtools 1:4.0.49-1
mullvad-vpn-bin 2025.14-1
nano 8.7-1
nano-syntax-highlighting 2025.07.01.r0.g256995b-2
ncdu 2.9.2-1
nemo-fileroller 6.6.0-4
nemo-image-converter 6.6.0-4
nemo-preview 6.6.0-1
nemo-share 6.6.0-4
neovim 0.11.5-1
netctl 1.29-2
network-manager-applet 1.36.0-1
networkmanager 1.54.3-1
networkmanager-openconnect 1.2.10-4
networkmanager-openvpn 1.12.5-1
nfs-utils 2.8.4-1
nilfs-utils 2.2.12-1
nitrogen 1.6.1-6
noto-fonts 1:2026.01.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
noto-fonts-extra 1:2026.01.01-1
npm 11.7.0-1
nss-mdns 0.15.1-2
ntfs-3g 2022.10.3-2
ntp 4.2.8.p18-6
nvidia-open-dkms 590.48.01-2
nwg-look 1.0.6-1
openssh 10.2p1-2
os-prober 1.83-1
pacman-contrib 1.13.1-1
pavucontrol 1:6.2-1
perl 5.42.0-1
picom 12.5-3
pipewire-alsa 1:1.4.9-2
pipewire-jack 1:1.4.9-2
pipewire-pulse 1:1.4.9-2
pkgfile 25-1
plocate 1.1.24-1
pnpm 10.28.0-1
polybar 3.7.2-2
poppler-glib 26.01.0-1
postgresql 18.1-2
postgrest 10.0.0-522
power-profiles-daemon 0.30-1
pv 1.10.3-1
python 3.14.2-2
python-defusedxml 0.7.1-8
python-iwlib 1.7.0-8
python-packaging 25.0-4
python-pip 25.3-3
python-pyqt6 6.10.2-2
python312 3.12.12-1
qtile 0.34.1-2
rebuild-detector 4.4.5-1
redshift 1.12-15
reflector 2023-4
reflector-simple 2025.10-1
rofi 2.0.0-1
rsync 3.4.1-2
rtkit 0.14-1
rust 1:1.92.0-1
s-nail 14.9.25-1
scrot 1.12.1-1
sg3_utils 1.48-1
smartmontools 7.5-1
sof-firmware 2025.12-1
speedcrunch 0.12.0-4
spicetify-cli 2.42.7-1
spotify 1:1.2.79.425-1
starship 1.24.2-1
sudo 1.9.17.p2-2
supertux 0.6.3-13
supertuxkart 1.5-1
swayidle 1.9.0-1
swww 0.11.2-1
sysfsutils 2.1.1-2
systemd-sysvcompat 259-2
texinfo 7.2-1
tldr 3.4.3-3
tree 2.2.1-1
ttf-bitstream-vera 1.10-16
ttf-dejavu 2.37+18+g9b5d1b2f-7
ttf-hack-nerd 3.4.0-1
ttf-jetbrains-mono-nerd 3.4.0-1
ttf-liberation 2.1.5-2
ttf-opensans 3.003-1
ttf-ubuntu-mono-nerd 3.4.0-1
ufw 0.36.2-7
unrar 1:7.2.3-1
unzip 6.0-23
upower 1.91.0-1
usb_modeswitch 2.6.2.20251207-1
usbutils 019-1
vesktop-bin 1.6.3-1
vi 1:070224-6
vim 9.1.2077-1
visual-studio-code-bin 1.107.1-1
waybar 0.14.0-6
wdisplays 1.1.3-1
welcome 26-1
wf-recorder 0.6.0-1
wget 1.25.0-3
when 1.1.45-2
which 2.23-1
whitesur-gtk-theme 2025.04.03-1
whitesur-icon-theme 2025.08.02-1
wireplumber 0.5.13-1
woff2-font-awesome 7.1.0-1
wofi 1.5.3-1
wpa_supplicant 2:2.11-5
